"Order Number",SKU,Quantity,Carrier,"Service Level",Tracking,Cost,"Package Weight","Package Length","Package Width","Package Height"
="1043959",="4T-TCN550-CS15",="1",USPS,first_class_mail,="9400111298370478976813",="3.2",="4.2",="9",="7",="2"
="1043916",="08-L14TWA2-PW220AN",="1",USPS,priority_mail,="9405511298370478974683",="6.95",="15",,,
="1043923",="4T-TCN550-CS15",="1",USPS,first_class_mail,="9400111298370478994824",="3.36",="4.1",="9",="7",="2"
="1043941",="BN95-03683A",="1",USPS,first_class_mail,="9400111298370478996729",="3.28",="4.8",,,
="1043899",="EAD63505502-2",="1",USPS,first_class_mail,="9400111298370478953814",="2.84",="3.7",,,
="1043917",="1-895-676-11",="1",USPS,first_class_mail,="9400111298370478958994",="2.7",="3.8",,,
="1043871",="JUC7.820.00180256-50",="1",USPS,first_class_mail,="9400111298370478951049",="4.06",="9.8",,,
="1043884",="756TXFCB0QK0240",="1",USPS,priority_mail,="9405511298370478964905",="7.42",="32",,,
="1043872",="08-L14TWA2-PW220AN",="1",USPS,first_class_mail,="9400111298370478967712",="4.33",="12",,,
="1043934",="PN51F5300AF-USED",="1",FEDEX,home_delivery,="779370335228",="11.47",="96",,,
="1043876",="55.65T46.C01",="1",USPS,first_class_mail,="9400111298370478980230",="2.68",="3.8",,,
="1043958",="75033152",="1",USPS,first_class_mail,="9400111298370478903949",="3.88",="8.4",,,
="1043947",="186459",="1",USPS,first_class_mail,="9400111298370478902072",="3.18",="5.1",,,
="1043926",="UN60F7050AF-USED",="1",FEDEX,home_delivery,="779370505562",="11.04",="192",,,
="1043954",="UN65KU7000FXZA-USED",="1",FEDEX,home_delivery,="779370549789",="15.63",="272",,,
="1043928",="BN95-01938A",="1",USPS,first_class_mail,="9400111298370470019525",="3.28",="7.2",,,
="1043906",="E500AR-NEW",="1",USPS,priority_mail,="9405511298370470010365",="10.33",="80",,,
="1043961",="20031",="1",FEDEX,home_delivery,="779370651748",="11.42",="112",,,
="1043932",="BN96-44628U-N",="1",FEDEX,home_delivery,="779370677726",="11.04",="128",,,
="1043951",="X505BV-FSR-USED",="1",USPS,first_class_mail,="9400111298370470046996",="4.98",="14.6",,,
="1043950",="U405CV-UMS-USED",="1",USPS,first_class_mail,="9400111298370470046996",="4.98",="14.6",,,
="1043881",="LJ92-01797A",="1",FEDEX,ground,="779370732220",="8.4",="32",,,
="1043936",="81-PBE032-M92",="1",USPS,first_class_mail,="9400111298370470078966",="3.36",="8",,,
="1043895",="188192",="1",USPS,first_class_mail,="9400111298370470093228",="3.28",="5",,,
="1043952",="BN94-04523A",="1",USPS,first_class_mail,="9400111298370470092337",="4.33",="10.8",,,
="1043892",="08-CS55CFN-OC406AA",="1",USPS,first_class_mail,="9400111298370470097547",="4.33",="9.7",,,
="1043909",="M502I-B1-USED",="1",FEDEX,home_delivery,="779370853139",="12.14",="80",,,
="1043915",="55.50T28.C03",="1",USPS,first_class_mail,="9400111298370470058425",="2.84",="4",="8",="6",="1"
="1043925",="224024",="1",USPS,first_class_mail,="9400111298370470052058",="5.12",="12.7",,,
="1043953",="159323-REF",="1",FEDEX,2day,="779370991772",="7.95",="32",,,
="1043902",="39665A-39666A-16-2",="1",USPS,priority_mail,="9405511298370470065969",="7.88",="32",,,
="1043877",="BP47-00027A",="1",USPS,first_class_mail,="9400111298370470066215",="3.82",="10.2",,,
="1043940",="XBR-65X850E-NEW",="1",FEDEX,home_delivery,="779371077520",="12.68",="80",,,
="1043889",="9758080R",="1",USPS,first_class_mail,="9400111298370470086206",="5.02",="13.2",,,
="1043882",="5304515139",="1",USPS,first_class_mail,="9400111298370470005702",="2.84",="1",,,
="1043886",="02189A-02190A-NEW",="1",USPS,first_class_mail,="9400111298370470006792",="2.68",="2",,,
="1043949",="EBF61315802",="1",USPS,priority_mail,="9405511298370470839997",="6.95",="48",,,
="1043907",="BN96-43169A-NEW",="1",USPS,first_class_mail,="9400111298370470831479",="2.84",="3.9",="8",="5",="2"
="1043883",="AKB75375604-NEW-5",="1",USPS,first_class_mail,="9400111298370470814366",="2.7",="4",,,
="1043921",="VW32LHDTV40A-SCREWS",="1",USPS,first_class_mail,="9400111298370470810993",="2.76",="0.6",,,
="1043893",="AKB75375604-NEW-12",="1",USPS,first_class_mail,="9400111298370470817909",="2.7",="4",,,
="1043908",="E70-C3-SCREWS",="1",USPS,first_class_mail,="9400111298370470879396",="2.7",="1",,,
="1043965",="CIR-SQU-17",="1",USPS,first_class_mail,="9400111298370470849245",="2.84",="3.8",,,
="1043942",="BN96-16535A",="1",USPS,priority_mail,="9405511298370470875568",="8.81",="64",,,
="1043910",="KD55X720E-STAND-NEW",="1",USPS,priority_mail,="9405511298370470876251",="8.2",="64",,,
="1043903",="RTU4300-USED",="1",USPS,first_class_mail,="9400111298370470565466",="3.22",="5",,,
="1043938",="55S425-NEW",="1",USPS,first_class_mail,="9400111298370470568375",="4.06",="9.6",,,
="1043873",="1-849-276-11-NEW",="1",USPS,priority_mail,="9405511298370470585344",="6.95",="8",,,
="1043957",="LC-43LBU591U-USED",="1",USPS,first_class_mail,="9400111298370470586782",="3.63",="7.5",,,
="1043924",="55LH5750UB-USED",="1",USPS,first_class_mail,="9400111298370470509361",="5.02",="12.8",,,
="1043976",="BN96-22413P",="1",USPS,first_class_mail,="9400111298370470505844",="2.68",="1",,,
="1043911",="RDENCA235WJQZ",="1",USPS,priority_mail,="9405511298370470734773",="10.03",="64",,,
="1043935",="D32HN-E4-STAND-USED",="1",USPS,first_class_mail,="9400111298370470507763",="3.28",="7.2",,,
="1043960",="6871L-4203C",="1",USPS,priority_mail,="9405511298370470737842",="7.61",="32",,,
="1043974",="8201661",="1",USPS,first_class_mail,="9400111298370470779696",="5.53",="13.5",,,
="1043919",="1143755-NEW",="1",USPS,first_class_mail,="9400111298370470775438",="2.7",="1",,,
="1043913",="T8-28NA3R-MA1",="1",USPS,first_class_mail,="9400111298370470794774",="3.88",="8.3",,,
="1043970",="BN96-23812A",="1",USPS,first_class_mail,="9400111298370470777883",="2.84",="4",,,
="1043973",="NRC280J-NEW",="1",USPS,first_class_mail,="9400111298370470791100",="2.66",="2.1",,,
="1043885",="BN59-01301A-NEW-8",="1",USPS,first_class_mail,="9400111298370470798314",="3.09",="3.2",,,
="1043888",="TY-49C-NEW",="1",USPS,first_class_mail,="9400111298370470725778",="2.76",="3.9",,,
="1043955",="RLDEDV4001-A-C-NEW",="1",USPS,first_class_mail,="9400111298370470728458",="2.76",="3",,,
="1043956",="NH500UW-NEW",="1",USPS,first_class_mail,="9400111298370470753726",="2.84",="2.8",,,
="1043969",="AY1R5MSW",="1",USPS,first_class_mail,="9400111298370470758943",="2.76",="3",,,
="1043912",="RM-YD017-USED",="1",USPS,first_class_mail,="9400111298370470760335",="3.22",="6.5",,,
="1043904",="EAD61273134-NEW",="1",USPS,first_class_mail,="9400111298370470789732",="2.68",="1.5",,,
="1043904",="EAD61273133-NEW",="1",USPS,first_class_mail,="9400111298370470789732",="2.68",="1.5",,,
="1043887",="NS-40D510NA17-NEW",="1",USPS,first_class_mail,="9400111298370470785482",="4.06",="9.8",,,
="1043922",="NS-43D420NA18-USED",="1",USPS,first_class_mail,="9400111298370470786397",="3.28",="6.3",,,
