Order_number,"Total Orders","Units Sold",Payment,"Item Price",Revenue,Commission,Tax,Discount,"Shipping Price","Shipping Cost","Item Cost",Profit,"Margin Percentage"
"=""Total""",22117,23086,948474.33,884460.97,786108.7,117755.8,44609.83,0,24152.72,126258.54,28.25,659821.91,83.94
"=""1057979""",1,10,1050,1050,923.17,126.83,0,0,0,12.76,0,910.41,98.62
"=""1056588""",1,10,1050,1050,923.17,126.83,0,0,0,13.57,0,909.6,98.53
"=""1042833""",1,10,1050,1050,923.17,126.83,0,0,0,12.26,0,910.91,98.67
"=""1042187""",1,10,1050,1050,923.17,126.83,0,0,0,12.83,0,910.34,98.61
"=""1059857""",1,10,1050,1050,923.17,126.83,0,0,0,12.76,0,910.41,98.62
"=""1042047""",1,10,1050,1050,923.17,126.83,0,0,0,12.26,0,910.91,98.67
"=""1061180""",1,10,1050,1050,923.17,126.83,0,0,0,13.36,0,909.81,98.55
"=""1042443""",1,10,1050,1050,923.17,126.83,0,0,0,15.47,0,907.7,98.32
"=""1064039""",1,10,1050,1050,923.17,126.83,0,0,0,14.22,0,908.95,98.46
"=""1060049""",1,10,1050,1050,923.17,126.83,0,0,0,12.91,0,910.26,98.6
"=""1063704""",1,10,1050,1050,923.17,126.83,0,0,0,14.22,0,908.95,98.46
"=""1056467""",1,10,1050,1050,923.17,126.83,0,0,0,13.57,0,909.6,98.53
"=""1063797""",1,10,1050,1050,923.17,126.83,0,0,0,12.35,0,910.82,98.66
"=""1061786""",1,10,1050,1050,923.17,126.83,0,0,0,12.35,0,910.82,98.66
"=""1057300""",1,10,1050,1050,923.17,126.83,0,0,0,13.36,0,909.81,98.55
"=""1047541""",1,1,866.59,795.95,721.57,74.38,70.64,0,0,49.11,0,672.46,93.19
"=""1064231""",1,7,735,735,646.13,88.87,0,0,0,11.59,0,634.54,98.21
"=""1062334""",1,2,748.9,699.9,613.83,86.07,49,0,0,14.29,0,599.54,97.67
"=""1043222""",1,8,718.32,656,574.85,81.15,62.32,0,0,12.26,0,562.59,97.87
"=""1056350""",1,2,653.89,599.9,525.74,74.15,54,0,0,13.7,0,512.04,97.39
"=""1053762""",1,1,514.95,499.95,452.6,62.35,0,0,15,17.44,0,435.16,96.15
"=""1043013""",1,1,399.95,399.95,399.95,0,0,0,0,11.04,0,388.91,97.24
"=""1050779""",1,10,449.5,449.5,395.03,54.47,0,0,0,9.39,0,385.64,97.62
"=""1063617""",1,2,389.85,259.9,389.85,0,0,0,0,0,0,389.85,100
"=""1043168""",1,1,425,425,386.23,38.77,0,0,0,19.82,0,366.41,94.87
"=""1058399""",1,10,419.5,419.5,368.65,50.85,0,0,0,8.8,0,359.85,97.61
"=""1042529""",1,1,432.95,399.95,362.49,37.46,33,0,0,34.16,0,328.33,90.58
"=""1051060""",1,10,400,400,351.5,48.5,0,0,0,8.12,0,343.38,97.69
"=""1044660""",1,1,399.95,399.95,351.45,48.5,0,0,0,14.37,0,337.08,95.91
"=""1059036""",1,1,399.95,399.95,351.45,48.5,0,0,0,18.05,0,333.4,94.86
"=""1064092""",1,1,399.95,399.95,351.45,48.5,0,0,0,12.56,0,338.89,96.43
"=""1062881""",1,10,399.5,399.5,351.06,48.44,0,0,0,9.19,0,341.87,97.38
"=""1042520""",1,1,422.35,399.95,350.8,49.15,22.4,0,0,17.92,0,332.88,94.89
"=""1062510""",1,1,423.95,399.95,350.76,49.19,24,0,0,14.06,0,336.7,95.99
"=""1064470""",1,1,426.45,399.95,350.68,49.27,26.5,0,0,11.59,0,339.09,96.69
"=""1043483""",1,1,402.6,374.95,339.91,35.04,27.65,0,0,19.13,0,320.78,94.37
"=""1044643""",1,7,408.1,385,337.64,47.36,23.1,0,0,15.37,0,322.27,95.45
"=""1046296""",1,3,389.85,389.85,336.73,53.12,0,0,0,8.45,0,328.28,97.49
"=""1063305""",1,1,379.95,379.95,333.86,46.09,0,0,0,8.2,0,325.66,97.54
