SKU,UPC,Title,Primary Supplier,Brand,Warehouse,Location,Quantity,Last Known Location
"EBT64553102","680196568326","LG 75SJ8570-UB Main Board (EAX67183603) EBT64553102","Unknown","LG","3130","C1-4-6-3","3","C1-4-6-3"
"EBT64053402","680196567725","LG 79UX970H-UA Main Board (LC790EQF-FHM1, EAX66705906) EBT64053402","Unknown","LG","3130","C1-4-6-3","1","C1-4-6-3"
"756TXFCB02K018","680196575287","Vizio D32H-C1 Main Board (XFCB02K018) 756TXFCB02K018","Unknown","Vizio","3130","B1-4-2-4","1","B1-4-2-4"
"EBU64122301","680196569361","LG 88BH7D-BF AUSOLH Main Board (LD880DN(UK)(A1), EAX67494303) EBU64122301","Unknown","LG","3130","C1-4-5-4","2","C1-4-5-4"
"BN96-46074P-N","680196569514","Samsung QN65Q9FNAFXZA One Connect (BN44-00935B, BN39-02395A) BN96-46074P NEW","Unknown","Samsung","3130","E1-6-4-1","9","E1-6-4-1"
"BN96-46074P-N","680196569514","Samsung QN65Q9FNAFXZA One Connect (BN44-00935B, BN39-02395A) BN96-46074P NEW","Unknown","Samsung","3130","E1-6-4-3","9","E1-6-4-1"
"BN96-44628X-U","680196569545","Samsung QN75Q9FNAFXZA One Connect (BN44-00937A, BN39-02395A) BN96-44628X USED","Unknown","Samsung","3130","E1-8-2-2","2","E1-8-2-2"
"BN96-44628X-N","680196569538","Samsung QN75Q9FNAFXZA One Connect (BN44-00937A, BN39-02395A) BN96-44628X NEW","Unknown","Samsung","CHOP1","U4-1-3-1","1","E1-8-5-1"
"BN96-44628X-N","680196569538","Samsung QN75Q9FNAFXZA One Connect (BN44-00937A, BN39-02395A) BN96-44628X NEW","Unknown","Samsung","3130","E1-6-2-1","10","E1-8-5-1"
"BN96-44628X-N","680196569538","Samsung QN75Q9FNAFXZA One Connect (BN44-00937A, BN39-02395A) BN96-44628X NEW","Unknown","Samsung","3130","E1-6-3-5","6","E1-8-5-1"
"BN96-44628X-N","680196569538","Samsung QN75Q9FNAFXZA One Connect (BN44-00937A, BN39-02395A) BN96-44628X NEW","Unknown","Samsung","3130","E1-7-4-5","2","E1-8-5-1"
"BN96-44628X-N","680196569538","Samsung QN75Q9FNAFXZA One Connect (BN44-00937A, BN39-02395A) BN96-44628X NEW","Unknown","Samsung","3130","E1-8-1-5","7","E1-8-5-1"
"BN96-44628X-N","680196569538","Samsung QN75Q9FNAFXZA One Connect (BN44-00937A, BN39-02395A) BN96-44628X NEW","Unknown","Samsung","3130","E1-8-2-5","5","E1-8-5-1"
"BN96-44628X-N","680196569538","Samsung QN75Q9FNAFXZA One Connect (BN44-00937A, BN39-02395A) BN96-44628X NEW","Unknown","Samsung","3130","E1-8-5-1","1","E1-8-5-1"
"BN96-44628X-N","680196569538","Samsung QN75Q9FNAFXZA One Connect (BN44-00937A, BN39-02395A) BN96-44628X NEW","Unknown","Samsung","3130","E1-8-5-2","1","E1-8-5-1"
"BN96-44628W-U","680196569606","Samsung QN65Q9FNAFXZA One Connect (BN44-00936A, BN39-02395A) BN96-44628W USED","Unknown","Samsung","CHOP1","U4-1-3-1","8","E1-7-3-1"
"BN96-44628W-U","680196569606","Samsung QN65Q9FNAFXZA One Connect (BN44-00936A, BN39-02395A) BN96-44628W USED","Unknown","Samsung","CHOP1","U4-2-4-1","1","E1-7-3-1"
"BN96-44628W-U","680196569606","Samsung QN65Q9FNAFXZA One Connect (BN44-00936A, BN39-02395A) BN96-44628W USED","Unknown","Samsung","3130","E1-5-4-3","3","E1-7-3-1"
"BN96-44628W-U","680196569606","Samsung QN65Q9FNAFXZA One Connect (BN44-00936A, BN39-02395A) BN96-44628W USED","Unknown","Samsung","3130","E1-7-3-1","1","E1-7-3-1"
"BN96-44628W-U","680196569606","Samsung QN65Q9FNAFXZA One Connect (BN44-00936A, BN39-02395A) BN96-44628W USED","Unknown","Samsung","3130","E1-7-4-5","2","E1-7-3-1"
"BN96-44628W-U","680196569606","Samsung QN65Q9FNAFXZA One Connect (BN44-00936A, BN39-02395A) BN96-44628W USED","Unknown","Samsung","3130","E1-8-1-1","2","E1-7-3-1"
"BN96-44628W-N","680196569590","Samsung QN65Q9FNAFXZA One Connect (BN44-00936A, BN39-02395A) BN96-44628W NEW","Unknown","Samsung","3130","E1-7-3-1","2","E1-7-3-1"
"BN96-44628W-N","680196569590","Samsung QN65Q9FNAFXZA One Connect (BN44-00936A, BN39-02395A) BN96-44628W NEW","Unknown","Samsung","3130","E1-7-4-5","4","E1-7-3-1"
"BN96-44628W-N","680196569590","Samsung QN65Q9FNAFXZA One Connect (BN44-00936A, BN39-02395A) BN96-44628W NEW","Unknown","Samsung","3130","E1-8-1-1","6","E1-7-3-1"
