"title","price","url"
"SPONSORED SAMSUNG BN94-12049E Main Board for UN50M5300AFXZA DA01","$51.90","https://www.ebay.com/itm/SAMSUNG-BN94-12049E-Main-Board-for-UN50M5300AFXZA-DA01/292971527767?epid=19018568368&_trkparms=ispr%3D1&hash=item443676be57:g:9W4AAOSwxphcbIrk&enc=AQADAAAB0KX%2FKt4E1xf3SDqEdBclaYbbGlWXA4EpUlfyvDFAXq69wRjgeO3vvCGVLGRbGqnLpDWFpztlz5E3CihEZ2W%2FAs57Xuat1MlpMKohVzALnHZJEso1tEYipLEjItIYY%2F9buWAcXmTsrmpnbfGZKzudWA1%2B6S0FKNs8llm%2FN%2BKBjEhcEC3%2BlSVzBtBRo3uPxBONHjQRExaAHhNP15a4TrQ1FnRFCQziMZM9jt48BsOsAMDNBhy3l8ocIQqH2LEJrHgJt5u7thEnRCZDaqd4BU7juDQErccK1h0dR%2Fixvi6TmkJ00akftLK6tDD43C43VNl%2BMcYVa5bhWkv1480SOm2xMestw0UzEwgVlHzL26CpQ2FZ%2FR284RTB%2BeHEmO79YIt9PfamG4HamRLGonPfFTfB34hm8OhlnwUkX2HB483AbifATlE9oDxOri%2FY8clIXG87%2BL5hG6a0U77b7JPrUJizwQ5EmWPcH0CEJ7E88cyMH6IH%2FL2xPIa%2FcQoDO91zjWLAnqyC1q8kwyhvz7KLurgxjObimfqZJRSIvZpEgm0Mhu07zQCa8XTkuZDEWX248uf1oIUfYIFHbKXhYo8sPVze8UqzTpHzt8%2BmHMJ6tGUFOaS1&checksum=292971527767f4087d1a6b3a4a71aa007807b9a780e3"
"SAMSUNG UN65H6300 MAIN BOARD BN94-07575A","$75.00","https://www.ebay.com/itm/SAMSUNG-UN65H6300-MAIN-BOARD-BN94-07575A/183867429556?hash=item2acf5a52b4:g:x0oAAOSw~ZpdGjif"
"Samsung BN94-06824A Main Board for UN60F7050","$105.00","https://www.ebay.com/itm/Samsung-BN94-06824A-Main-Board-for-UN60F7050/254281151678?epid=1924940450&hash=item3b345674be:g:VtcAAOSwCd9dGP9z"
"SPONSORED SAMSUNG UN40MU6290F MAIN BOARD BN94-12640X RIBBONS INCLUDED (WATCH RED CIRCLE)","$46.50","https://www.ebay.com/itm/SAMSUNG-UN40MU6290F-MAIN-BOARD-BN94-12640X-RIBBONS-INCLUDED-WATCH-RED-CIRCLE/173947918382?_trkparms=ispr%3D1&hash=item28801a982e:g:cg8AAOSwg9hdFqu-&enc=AQADAAAB0KX%2FKt4E1xf3SDqEdBclaYbtGcELDaEgetmrLYSJOYKSWuok9rfvoXXDUjXKwvQPsOf1Smcyq9AL%2BUKW1ZqzkNeN9HvST980BpBGdoaTOt7pPIkUfF%2FKWpW3sbsKUUKHkF7ZlOdM%2BPYMGh3fExdHB6d0ww1Qaq5r%2BMDCBEDh9gI8iPvgmDsN%2FU9ENxUKb9jZYMVRmEXr2418p%2FzGOrzQ7aqsXzX8RdGHOTmv5DeyZYQibjLP1GfvRJAwi%2FkbCzl%2B1rXDcHlpzGsHbjJ%2BYWQiFJOZpd2tmUxVazZOPtRDc1VLZproknZxtqxvC0v4b1h2Ei6Aq42%2B2GiT%2BxICd2q3z8NlWQy%2FF315qDhqXia14rK1a7bRO9jWOBAoxiMYrd0uyA2vxcL%2BZY2Xw6FeX5ukuHUSfR2pPWLmZHy3QiA9t9gyF8Pe71pwBiW36I62FRWXjboDqVwpFMinCdsj8AxqsU5eA1ZbsfgaLGm2%2BtFRh%2FzimdHYRTTyc3skEJO4kS1P5aKwPLnyLkv68mv1hSCoyLLGPWpp%2FCxRmyVpp1YM3%2BQZjtplF%2Bg3HDLsywB70eOnkfU8MpoAnLyh6XTQnUvNptOX%2BcrM9HDC5BgyXTYPCLEv&checksum=173947918382f4087d1a6b3a4a71aa007807b9a780e3"
"SPONSORED SAMSUNG BN94-13028A Main Board for QN55Q6FNAFXZA (Version FA01 / QNQ6F)","$199.90","https://www.ebay.com/itm/SAMSUNG-BN94-13028A-Main-Board-for-QN55Q6FNAFXZA-Version-FA01-QNQ6F/273569422505?epid=15025158663&_trkparms=ispr%3D1&hash=item3fb2021ca9:g:4QEAAOSwTxJb81RD&enc=AQADAAAB0KX%2FKt4E1xf3SDqEdBclaYYvSzA21K9UCRhgBu0LjGa6CmtxbQYSljGhegl0ZcEiGkavmNase8tvOD2YdM1MG0Bn%2FKAeIS%2BYlQN2YwLpNLjGvl1UrN8ZKIlt7R8dQhe9BEjDJcAFqbnGwkL75Rtvn8rZuCxdJ2MD7tWcmtW4q4RDS9Nm97dIEmHWjamw7A3n3%2FGbLQ%2FMVE80rqhm2FwXP8p3HeIpjG4KUZC6Ece4lrNAV1w8gPkaNF70URRKblEdWPpal%2FMhwBHd96cB4pK5fLaraFmKQG%2FgYoudGoq8T59i%2FqhjpOxRdGz%2FFznwrpyZNiuS10NYj5Z6z3y%2Ftz2vaeVDJu8hSCTnqRDYN1NbMCicsIkeTu4qzuAwbDQMEL0oC48RgYZIMKoPO9lSlidR3DNef4eJM5FEJyVqs8AEfGHU9zMvs3ENlhoZUYlJSPouxaRy9BKG%2BnOQKC698nA4s6em31b7iqsjmxL9U5SoPpbZ%2F32cZleEeqFjJDOYk92p0%2F%2Fzr0OuXbqUedf09sSVRRQmsde5xGWCrGhJkkXFzAs8mtIqdsruAxwi%2BO9Q1DeOkCagPfF0ozsi9uSUb7LmZ2IYoZ9Uk3LTlVGWFalz9zkk&checksum=273569422505f4087d1a6b3a4a71aa007807b9a780e3"
"Samsung UN65MU8000F TV BN94-12295J Main Board - L29","$29.99","https://www.ebay.com/itm/Samsung-UN65MU8000F-TV-BN94-12295J-Main-Board-L29/273896419101?hash=item3fc57faf1d:g:N3kAAOSw5zVdCryC"
"Samsung UN60KU6300FXZA,BN94-10802A,BN97-10648F, Main Board","$50.00","https://www.ebay.com/itm/Samsung-UN60KU6300FXZA-BN94-10802A-BN97-10648F-Main-Board/192970926515?hash=item2cedf6a9b3:g:ohUAAOSw5ipdF~id"
"Samsung UN60H6350AFXZA Main Board BN94-07410R. Free Shipping","$80.33","https://www.ebay.com/itm/Samsung-UN60H6350AFXZA-Main-Board-BN94-07410R-Free-Shipping/312681259557?epid=10007406155&hash=item48cd416225:g:UkIAAOSwIXZdGhfi"
"Samsung BN94-06418U Main Board UN60FH6200 UN60FH6200FXZA","$30.00","https://www.ebay.com/itm/Samsung-BN94-06418U-Main-Board-UN60FH6200-UN60FH6200FXZA/223570972211?epid=1623825004&hash=item340dde4e33:g:9YgAAOSwcttb9HJN"
"Samsung BN97-06989A | BN94-06143A Main Video Board TV Model UN60EH6003F","$29.95","https://www.ebay.com/itm/Samsung-BN97-06989A-BN94-06143A-Main-Video-Board-TV-Model-UN60EH6003F/202722360983?epid=1540235292&hash=item2f3331be97:g:wLwAAOSwx6ldGRqv"
